time,shipX,shipY,cameraX,cameraY,deltaCameraX,deltaCameraY
2.6378,350.0000,566.3227,480.0000,652.3108,0.0000,-2.5930
2.6543,350.0000,563.3046,480.0000,649.6585,0.0000,-2.6523
2.6712,350.0000,560.2412,480.0000,646.9188,0.0000,-2.7397
2.6876,350.0000,557.2600,480.0000,644.2211,0.0000,-2.6977
2.7047,350.0000,554.1794,480.0000,641.3933,0.0000,-2.8278
2.7214,350.0000,551.1457,480.0000,638.5834,0.0000,-2.8099
2.7381,350.0000,548.0126,480.0000,635.6492,0.0000,-2.9343
2.7549,350.0000,544.9640,480.0000,632.7786,0.0000,-2.8706
2.7707,350.0000,542.0005,480.0000,629.9758,0.0000,-2.8028
2.7878,350.0000,538.9383,480.0000,627.0563,0.0000,-2.9195
2.8049,350.0000,535.7402,480.0000,623.9829,0.0000,-3.0734
2.8208,350.0000,532.7581,480.0000,621.1198,0.0000,-2.8630
2.8378,350.0000,529.6775,480.0000,618.1442,0.0000,-2.9757
2.8544,350.0000,526.5541,480.0000,615.1146,0.0000,-3.0296
2.8713,350.0000,523.4065,480.0000,612.0516,0.0000,-3.0630
2.8875,350.0000,520.3470,480.0000,609.0732,0.0000,-2.9784
2.9045,350.0000,517.1704,480.0000,605.9659,0.0000,-3.1074
2.9216,350.0000,514.0076,480.0000,602.8676,0.0000,-3.0983
2.9380,350.0000,510.9339,480.0000,599.8578,0.0000,-3.0098
2.9547,350.0000,507.7995,480.0000,596.7795,0.0000,-3.0782
2.9715,350.0000,504.6234,480.0000,593.6534,0.0000,-3.1262
2.9875,350.0000,501.6125,480.0000,590.6974,0.0000,-2.9560
3.0040,350.0000,498.4848,480.0000,587.6148,0.0000,-3.0826
3.0208,350.0000,495.3158,480.0000,584.4857,0.0000,-3.1291
3.0373,350.0000,492.1809,480.0000,581.3904,0.0000,-3.0954
3.0539,350.0000,489.0426,480.0000,578.2891,0.0000,-3.1013
3.0705,350.0000,485.8821,480.0000,575.1622,0.0000,-3.1269
3.0878,350.0000,482.6995,480.0000,572.0101,0.0000,-3.1521
3.1047,350.0000,479.5518,480.0000,568.8934,0.0000,-3.1167
3.1213,350.0000,476.3063,480.0000,565.6716,0.0000,-3.2219
3.1378,350.0000,473.1910,480.0000,562.5867,0.0000,-3.0849
3.1548,350.0000,470.0370,480.0000,559.4574,0.0000,-3.1293
3.1711,350.0000,466.8260,480.0000,556.2641,0.0000,-3.1932
3.1882,350.0000,463.6150,480.0000,553.0684,0.0000,-3.1957
3.2047,350.0000,460.5180,480.0000,549.9915,0.0000,-3.0769
3.2210,350.0000,457.3830,480.0000,546.8715,0.0000,-3.1200
3.2374,350.0000,454.2290,480.0000,543.7293,0.0000,-3.1422
3.2541,350.0000,451.0560,480.0000,540.5652,0.0000,-3.1641
3.2714,350.0000,447.8070,480.0000,537.3189,0.0000,-3.2463
3.2879,350.0000,444.7100,480.0000,534.2340,0.0000,-3.0849
3.3044,350.0000,441.5370,480.0000,531.0666,0.0000,-3.1674
3.3211,350.0000,438.3070,480.0000,527.8377,0.0000,-3.2289
3.3376,350.0000,435.2290,480.0000,524.7704,0.0000,-3.0673
3.3551,350.0000,431.9040,480.0000,521.4382,0.0000,-3.3322
3.3717,350.0000,428.7690,480.0000,518.3099,0.0000,-3.1284
3.3877,350.0000,425.6720,480.0000,515.2210,0.0000,-3.0889
3.4041,350.0000,422.5560,480.0000,512.1108,0.0000,-3.1102
3.4216,350.0000,419.3260,480.0000,508.8783,0.0000,-3.2325
3.4382,350.0000,416.1720,480.0000,505.7273,0.0000,-3.1511
3.4549,350.0000,412.9800,480.0000,502.5353,0.0000,-3.1920
3.4712,350.0000,409.8260,480.0000,499.3838,0.0000,-3.1515
3.4876,350.0000,406.7100,480.0000,496.2724,0.0000,-3.1114
3.5042,350.0000,403.5560,480.0000,493.1199,0.0000,-3.1525
3.5210,350.0000,400.3450,480.0000,489.9064,0.0000,-3.2135
3.5375,350.0000,397.2100,480.0000,486.7743,0.0000,-3.1321
3.5543,350.0000,394.0370,480.0000,483.6013,0.0000,-3.1730
3.5710,350.0000,390.8450,480.0000,480.4081,0.0000,-3.1933
3.5876,350.0000,387.7290,480.0000,477.2960,0.0000,-3.1121
3.6045,350.0000,384.5370,480.0000,474.1023,0.0000,-3.1936
3.6208,350.0000,381.3830,480.0000,470.9494,0.0000,-3.1529
3.6376,350.0000,378.1910,480.0000,467.7559,0.0000,-3.1936
3.6549,350.0000,374.9230,480.0000,464.4813,0.0000,-3.2745
3.6709,350.0000,371.8640,480.0000,461.4305,0.0000,-3.0509
3.6879,350.0000,368.6340,480.0000,458.1963,0.0000,-3.2341
3.7049,350.0000,365.4230,480.0000,454.9831,0.0000,-3.2133
3.7207,350.0000,362.3830,480.0000,451.9521,0.0000,-3.0309
3.7381,350.0000,359.0960,480.0000,448.6566,0.0000,-3.2955
3.7543,350.0000,356.0370,480.0000,445.6054,0.0000,-3.0512
3.7709,350.0000,352.8640,480.0000,442.4319,0.0000,-3.1736
3.7878,350.0000,349.7100,480.0000,439.2786,0.0000,-3.1532
3.8046,350.0000,346.5180,480.0000,436.0848,0.0000,-3.1939
3.8211,350.0000,343.3830,480.0000,432.9519,0.0000,-3.1328
3.8382,350.0000,340.0960,480.0000,429.6565,0.0000,-3.2955
3.8548,350.0000,336.9420,480.0000,426.5043,0.0000,-3.1522
3.8707,350.0000,333.8830,480.0000,423.4528,0.0000,-3.0514
3.8875,350.0000,330.7290,480.0000,420.2993,0.0000,-3.1535
3.9044,350.0000,327.5180,480.0000,417.0849,0.0000,-3.2144
3.9211,350.0000,324.3450,480.0000,413.9116,0.0000,-3.1734
3.9382,350.0000,321.1340,480.0000,410.6977,0.0000,-3.2139
3.9544,350.0000,317.9990,480.0000,407.5653,0.0000,-3.1324
3.9710,350.0000,314.8640,480.0000,404.4325,0.0000,-3.1328
3.9877,350.0000,311.6530,480.0000,401.2184,0.0000,-3.2141
4.0039,350.0000,308.5560,480.0000,398.1262,0.0000,-3.0922
4.0207,350.0000,305.3830,480.0000,394.9524,0.0000,-3.1738
4.0376,350.0000,302.2100,480.0000,391.7787,0.0000,-3.1737
4.0543,350.0000,299.0370,480.0000,388.6051,0.0000,-3.1736
4.0717,350.0000,295.7310,480.0000,385.2894,0.0000,-3.3157
4.0874,350.0000,292.7100,480.0000,382.2788,0.0000,-3.0106
4.1048,350.0000,289.4420,480.0000,379.0037,0.0000,-3.2751
4.1210,350.0000,286.3830,480.0000,375.9524,0.0000,-3.0513
4.1379,350.0000,283.1340,480.0000,372.6975,0.0000,-3.2549
4.1549,350.0000,279.9610,480.0000,369.5246,0.0000,-3.1729
4.1713,350.0000,276.8260,480.0000,366.3922,0.0000,-3.1324
4.1873,350.0000,273.7100,480.0000,363.2797,0.0000,-3.1125
4.2045,350.0000,270.4990,480.0000,360.0654,0.0000,-3.2143
4.2207,350.0000,267.3830,480.0000,356.9528,0.0000,-3.1126
4.2375,350.0000,264.1910,480.0000,353.7588,0.0000,-3.1940
4.2548,350.0000,260.9610,480.0000,350.5245,0.0000,-3.2343
4.2707,350.0000,257.8830,480.0000,347.4527,0.0000,-3.0718
4.2876,350.0000,254.7100,480.0000,344.2790,0.0000,-3.1737
4.3045,350.0000,251.5370,480.0000,341.1053,0.0000,-3.1736
4.3214,350.0000,248.2880,480.0000,337.8506,0.0000,-3.2547
4.3382,350.0000,245.1150,480.0000,334.6778,0.0000,-3.1728
4.3543,350.0000,242.0560,480.0000,331.6264,0.0000,-3.0515
4.3710,350.0000,238.8450,480.0000,328.4120,0.0000,-3.2144
4.3877,350.0000,235.6720,480.0000,325.2386,0.0000,-3.1734
4.4048,350.0000,232.5180,480.0000,322.0855,0.0000,-3.1531
4.4211,350.0000,229.3640,480.0000,318.9323,0.0000,-3.1532
4.4381,350.0000,226.1530,480.0000,315.7182,0.0000,-3.2141
4.4542,350.0000,223.0370,480.0000,312.6058,0.0000,-3.1124
4.4707,350.0000,219.8830,480.0000,309.4525,0.0000,-3.1534
4.4875,350.0000,216.7100,480.0000,306.2787,0.0000,-3.1737
4.5046,350.0000,213.4610,480.0000,303.0240,0.0000,-3.2548
4.5216,350.0000,210.2500,480.0000,299.8106,0.0000,-3.2134
4.5378,350.0000,207.1340,480.0000,296.6988,0.0000,-3.1118
4.5545,350.0000,204.0370,480.0000,293.6067,0.0000,-3.0921
4.5714,350.0000,200.8070,480.0000,290.3721,0.0000,-3.2346
4.5877,350.0000,197.6910,480.0000,287.5766,0.0000,-2.7955
4.6047,350.0000,194.5968,480.0000,285.0830,0.0000,-2.4936
4.6208,350.0000,191.7663,480.0000,283.0367,0.0000,-2.0463
4.6377,350.0000,188.9691,480.0000,281.2174,0.0000,-1.8193
4.6550,350.0000,186.2259,480.0000,279.6173,0.0000,-1.6001
4.6714,350.0000,183.6722,480.0000,278.2827,0.0000,-1.3346
4.6902,350.0000,181.2659,480.0000,277.1525,0.0000,-1.1301
4.7042,350.0000,178.9159,480.0000,276.1599,0.0000,-0.9926
4.7211,350.0000,176.6233,480.0000,275.2908,0.0000,-0.8692
4.7379,350.0000,174.4515,480.0000,274.5525,0.0000,-0.7383
4.7541,350.0000,172.3933,480.0000,273.9242,0.0000,-0.6282
4.7712,350.0000,170.3504,480.0000,273.3645,0.0000,-0.5598
4.7890,350.0000,168.4926,480.0000,272.9080,0.0000,-0.4565
4.8041,350.0000,166.7903,480.0000,272.5022,0.0000,-0.4058
4.8211,350.0000,165.2841,480.0000,272.1511,0.0000,-0.3511
4.8378,350.0000,163.9892,480.0000,271.8526,0.0000,-0.2985
4.8543,350.0000,162.8795,480.0000,271.5955,0.0000,-0.2571
4.8713,350.0000,161.9292,480.0000,271.3691,0.0000,-0.2263
4.8881,350.0000,161.1609,480.0000,271.1759,0.0000,-0.1932
4.9045,350.0000,160.5826,480.0000,271.0173,0.0000,-0.1586
4.9213,350.0000,160.1360,480.0000,270.8730,0.0000,-0.1443
4.9378,350.0000,159.8525,480.0000,270.7539,0.0000,-0.1191
4.9542,350.0000,159.7078,480.0000,270.6487,0.0000,-0.1052
4.9710,350.0000,159.7028,480.0000,270.5581,0.0000,-0.0905
4.9883,350.0000,159.8378,480.0000,270.4785,0.0000,-0.0796
5.0042,350.0000,160.0866,480.0000,270.4136,0.0000,-0.0649
5.0209,350.0000,160.4632,480.0000,270.3562,0.0000,-0.0574
5.0376,350.0000,160.9601,480.0000,270.3065,0.0000,-0.0497
5.0541,350.0000,161.5702,480.0000,270.2637,0.0000,-0.0428
5.0718,350.0000,162.3383,480.0000,270.2249,0.0000,-0.0388
5.0876,350.0000,163.1225,480.0000,270.1949,0.0000,-0.0300
5.1046,350.0000,164.0643,480.0000,270.1673,0.0000,-0.0277
5.1205,350.0000,165.0384,480.0000,270.1448,0.0000,-0.0224
5.1376,350.0000,166.1468,480.0000,270.1246,0.0000,-0.0202
5.1543,350.0000,167.3432,480.0000,270.1072,0.0000,-0.0174
5.1710,350.0000,168.6238,480.0000,270.0923,0.0000,-0.0150
5.1877,350.0000,169.9767,480.0000,270.0795,0.0000,-0.0128
5.2042,350.0000,171.4241,480.0000,270.0683,0.0000,-0.0111
5.2208,350.0000,172.9278,480.0000,270.0588,0.0000,-0.0095
5.2374,350.0000,174.5018,480.0000,270.0507,0.0000,-0.0082
5.2549,350.0000,176.1536,480.0000,270.0436,0.0000,-0.0071
5.2710,350.0000,177.8709,480.0000,270.0375,0.0000,-0.0061
5.2875,350.0000,179.6509,480.0000,270.0323,0.0000,-0.0052
5.3049,350.0000,181.5252,480.0000,270.0277,0.0000,-0.0046
5.3213,350.0000,183.4240,480.0000,270.0238,0.0000,-0.0039
5.3380,350.0000,185.3781,480.0000,270.0205,0.0000,-0.0033
5.3541,350.0000,187.3237,480.0000,270.0177,0.0000,-0.0028
5.3711,350.0000,189.3927,480.0000,270.0152,0.0000,-0.0025
5.3883,350.0000,191.4982,480.0000,270.0131,0.0000,-0.0021
5.4048,350.0000,193.6635,480.0000,270.0113,0.0000,-0.0018
5.4211,350.0000,195.8206,480.0000,270.0097,0.0000,-0.0015
5.4383,350.0000,198.1556,480.0000,270.0083,0.0000,-0.0014
5.4544,350.0000,200.3684,480.0000,270.0083,0.0000,0.0000
5.4708,350.0000,202.6325,480.0000,270.0083,0.0000,0.0000
5.4879,350.0000,205.0474,480.0000,270.0083,0.0000,0.0000
5.5045,350.0000,207.3985,480.0000,270.0083,0.0000,0.0000
5.5208,350.0000,209.8127,480.0000,270.0083,0.0000,0.0000
5.5376,350.0000,212.2748,480.0000,270.0083,0.0000,0.0000
5.5542,350.0000,214.7537,480.0000,270.0083,0.0000,0.0000
5.5709,350.0000,217.2783,480.0000,270.0083,0.0000,0.0000
5.5882,350.0000,219.8787,480.0000,270.0083,0.0000,0.0000
5.6043,350.0000,222.3989,480.0000,270.0083,0.0000,0.0000
5.6208,350.0000,225.0080,480.0000,270.0083,0.0000,0.0000
5.6377,350.0000,227.6430,480.0000,270.0083,0.0000,0.0000
5.6551,350.0000,230.3992,480.0000,270.0083,0.0000,0.0000
5.6709,350.0000,232.9865,480.0000,270.0083,0.0000,0.0000
5.6876,350.0000,235.6767,480.0000,270.0083,0.0000,0.0000
5.7049,350.0000,238.4708,480.0000,270.0083,0.0000,0.0000
5.7225,350.0000,241.2040,480.0000,270.0083,0.0000,0.0000
5.7380,350.0000,243.9404,480.0000,270.0083,0.0000,0.0000
5.7546,350.0000,246.7124,480.0000,270.0083,0.0000,0.0000
5.7711,350.0000,249.4859,480.0000,270.0083,0.0000,0.0000
5.7881,350.0000,252.3617,480.0000,270.0083,0.0000,0.0000
5.8052,350.0000,255.2551,480.0000,270.0083,0.0000,0.0000
5.8212,350.0000,258.0106,480.0000,270.0083,0.0000,0.0000
5.8384,350.0000,260.9362,480.0000,270.0083,0.0000,0.0000
5.8545,350.0000,263.7731,480.0000,270.0083,0.0000,0.0000
5.8713,350.0000,266.6937,480.0000,270.0083,0.0000,0.0000
5.8881,350.0000,269.6633,480.0000,270.0083,0.0000,0.0000
5.9044,350.0000,272.4880,480.0000,270.0083,0.0000,0.0000
5.9208,350.0000,275.4130,480.0000,270.0083,0.0000,0.0000
5.9375,350.0000,278.3678,480.0000,270.0083,0.0000,0.0000
5.9543,350.0000,281.3164,480.0000,270.0083,0.0000,0.0000
5.9710,350.0000,284.2761,480.0000,270.0083,0.0000,0.0000
5.9880,350.0000,287.3360,480.0000,270.0083,0.0000,0.0000
6.0044,350.0000,290.2627,480.0000,270.0083,0.0000,0.0000
6.0210,350.0000,293.2710,480.0000,270.0083,0.0000,0.0000
6.0376,350.0000,296.2706,480.0000,270.0083,0.0000,0.0000
6.0544,350.0000,299.3155,480.0000,270.0083,0.0000,0.0000
6.0710,350.0000,302.3327,480.0000,270.0083,0.0000,0.0000
6.0878,350.0000,305.3947,480.0000,270.0083,0.0000,0.0000
6.1047,350.0000,308.4831,480.0000,270.0083,0.0000,0.0000
6.1216,350.0000,311.6159,480.0000,270.0083,0.0000,0.0000
6.1375,350.0000,314.5173,480.0000,270.0083,0.0000,0.0000
6.1549,350.0000,317.6646,480.0000,270.0083,0.0000,0.0000
6.1708,350.0000,320.6712,480.0000,270.0083,0.0000,0.0000
6.1876,350.0000,323.7581,480.0000,270.0083,0.0000,0.0000
6.2048,350.0000,326.8511,480.0000,270.0083,0.0000,0.0000
6.2209,350.0000,329.9315,480.0000,270.0083,0.0000,0.0000
6.2376,350.0000,333.0361,480.0000,270.0083,0.0000,0.0000
6.2543,350.0000,336.1462,480.0000,270.0083,0.0000,0.0000
6.2710,350.0000,339.2429,480.0000,270.0083,0.0000,0.0000
6.2878,350.0000,342.3445,480.0000,270.3325,0.0000,0.3242
6.3044,350.0000,345.4884,480.0000,271.0560,0.0000,0.7235
6.3211,350.0000,348.6556,480.0000,272.1283,0.0000,1.0723
6.3376,350.0000,351.7335,480.0000,273.4464,0.0000,1.3181
6.3545,350.0000,354.8907,480.0000,275.0523,0.0000,1.6059
6.3710,350.0000,358.0143,480.0000,276.8511,0.0000,1.7988
6.3881,350.0000,361.1795,480.0000,278.8617,0.0000,2.0106
6.4043,350.0000,364.2919,480.0000,280.9911,0.0000,2.1294
6.4213,350.0000,367.4833,480.0000,283.3181,0.0000,2.3270
6.4375,350.0000,370.5837,480.0000,285.6873,0.0000,2.3693
6.4544,350.0000,373.7251,480.0000,288.1905,0.0000,2.5032
6.4713,350.0000,376.9644,480.0000,290.8685,0.0000,2.6780
6.4876,350.0000,380.0551,480.0000,293.4865,0.0000,2.6180
6.5051,350.0000,383.3005,480.0000,296.3128,0.0000,2.8263
6.5215,350.0000,386.4537,480.0000,299.1078,0.0000,2.7951
6.5379,350.0000,389.6267,480.0000,301.9713,0.0000,2.8634
6.5546,350.0000,392.7807,480.0000,304.8591,0.0000,2.8878
6.5711,350.0000,395.8967,480.0000,307.7460,0.0000,2.8869
6.5880,350.0000,399.0697,480.0000,310.7217,0.0000,2.9757
6.6044,350.0000,402.2427,480.0000,313.7250,0.0000,3.0033
6.6215,350.0000,405.3777,480.0000,316.7131,0.0000,2.9881
6.6380,350.0000,408.6267,480.0000,319.8389,0.0000,3.1258
6.6544,350.0000,411.7237,480.0000,322.8250,0.0000,2.9861
6.6710,350.0000,414.8587,480.0000,325.8657,0.0000,3.0407
6.6881,350.0000,418.1267,480.0000,329.0582,0.0000,3.1925
